Main Holding Name,Main Holding Key,Holding Name,Holding Key,International Sector Key,International Sector Description,International Department Key,International Department Description,Group Class Key - Description,Class Key - Description,Brand Name
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1203 - LOTIONS/CARE PRODUCTS,LASCAD
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1200 - SHAMPOOS,DANIEL HECHTER
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1216 - EAU DE COLOGNE/EAU DE TOILLETTE,AIRNESS
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,126 - FEMININE HYGIENE,1262 - INTIMATE FEMININE HYGIENE PROD,CADUM
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1203 - LOTIONS/CARE PRODUCTS,JEAN LOUIS DAVID
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1212 - SOAPS,DONGE
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1203 - LOTIONS/CARE PRODUCTS,DANIEL HECHTER
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1213 - DEODORANTS,EAU JEUNE
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1200 - SHAMPOOS,MIXA
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1213 - DEODORANTS,GLORIA VANDERBILT
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1216 - EAU DE COLOGNE/EAU DE TOILLETTE,LASCAD
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1214 - BODY CARE,USHUAIA
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,123 - FACIAL CARE/MAKEUP,1230 - WOMEN FACIAL CARE,MENNEN
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,123 - FACIAL CARE/MAKEUP,1234 - MEN FACIAL CARE,MENNEN
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1213 - DEODORANTS,SLAVA ZAITSEV
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1216 - EAU DE COLOGNE/EAU DE TOILLETTE,H POUR HOMME
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1216 - EAU DE COLOGNE/EAU DE TOILLETTE,MENNEN
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1212 - SOAPS,CLEOPATRA
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1200 - SHAMPOOS,CADUM
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1423 - CHOCOLATE CONFECTIONERY,M&M'S
MARS,401,MARS,401,1,FMCG,13,PET CARE,131 - DOG,1310 - DOG FOOD,PEDIGREE
MARS,401,MARS,401,1,FMCG,13,PET CARE,130 - CAT,1300 - CAT FOOD,WHISKAS
MARS,401,MARS,401,1,FMCG,13,PET CARE,130 - CAT,1300 - CAT FOOD,SHEBA
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1421 - CHEWING-GUM,FREEDENT
MARS,401,MARS,401,1,FMCG,13,PET CARE,130 - CAT,1301 - LITTER,CATSAN
MARS,401,MARS,401,1,FMCG,14,GROCERIES,149 - ETHNIC PRODUCTS,1490 - ASIA/OCEANIA,SUZI WAN
MARS,401,MARS,401,1,FMCG,14,GROCERIES,145 - PASTA/RICE/PULSES/SOUPS,1451 - RICE,UNCLE BENS
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1423 - CHOCOLATE CONFECTIONERY,TWIX
MARS,401,MARS,401,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,SNICKERS
MARS,401,MARS,401,1,FMCG,13,PET CARE,131 - DOG,1310 - DOG FOOD,CESAR
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1423 - CHOCOLATE CONFECTIONERY,MALTESERS
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1423 - CHOCOLATE CONFECTIONERY,SNICKERS
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1421 - CHEWING-GUM,AIRWAVES
MARS,401,MARS,401,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,MARS
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1423 - CHOCOLATE CONFECTIONERY,BALISTO
MARS,401,MARS,401,1,FMCG,13,PET CARE,130 - CAT,1300 - CAT FOOD,CATISFACTION
MARS,401,MARS,401,1,FMCG,13,PET CARE,130 - CAT,1300 - CAT FOOD,PERFECT FIT
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1423 - CHOCOLATE CONFECTIONERY,MARS
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1423 - CHOCOLATE CONFECTIONERY,CELEBRATION
MARS,401,MARS,401,1,FMCG,13,PET CARE,131 - DOG,1310 - DOG FOOD,FROLIC
MARS,401,MARS,401,1,FMCG,13,PET CARE,131 - DOG,1311 - DOG CARE,PEDIGREE
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1420 - CONFECTIONERY,SKITTLES
MARS,401,MARS,401,1,FMCG,13,PET CARE,130 - CAT,1303 - CAT ACCESSORIES,CATSAN
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1424 - SEASONAL CONFECTIONERY,CELEBRATION
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1423 - CHOCOLATE CONFECTIONERY,BOUNTY
MARS,401,MARS,401,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,TWIX
MARS,401,MARS,401,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,BOUNTY
MARS,401,MARS,401,1,FMCG,14,GROCERIES,145 - PASTA/RICE/PULSES/SOUPS,1454 - SEMOLINA/CEREALS,UNCLE BENS
MARS,401,MARS,401,1,FMCG,14,GROCERIES,146 - OILS/SEASONING/SAUCES,1465 - COLD SAUCES,SUZI WAN
MARS,401,MARS,401,1,FMCG,14,GROCERIES,145 - PASTA/RICE/PULSES/SOUPS,1454 - SEMOLINA/CEREALS,EBLY
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1422 - CHOCOLATE BARS,M&M'S
MARS,401,MARS,401,1,FMCG,13,PET CARE,131 - DOG,1310 - DOG FOOD,CANIGOU
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1424 - SEASONAL CONFECTIONERY,M&M'S
MARS,401,MARS,401,1,FMCG,13,PET CARE,131 - DOG,1310 - DOG FOOD,CRAVE
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1421 - CHEWING-GUM,HUBA BUBBA
MARS,401,MARS,401,1,FMCG,14,GROCERIES,141 - BISCUITS/CAKES/CEREAL/DRY BREAD,1410 - BISCUIT,TWIX
MARS,401,MARS,401,1,FMCG,14,GROCERIES,141 - BISCUITS/CAKES/CEREAL/DRY BREAD,1413 - CEREALS/MUESLIS,BE KIND
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1423 - CHOCOLATE CONFECTIONERY,MILKY WAY
MARS,401,MARS,401,1,FMCG,14,GROCERIES,141 - BISCUITS/CAKES/CEREAL/DRY BREAD,1410 - BISCUIT,MALTESERS
MARS,401,MARS,401,1,FMCG,14,GROCERIES,146 - OILS/SEASONING/SAUCES,1467 - SALT/PEPPER/SPICES/COOKING HELP,SUZI WAN
MARS,401,MARS,401,1,FMCG,14,GROCERIES,144 - SNACKS,1443 - PUFFED/EXTRUDED SNACKS,UNCLE BENS
MARS,401,MARS,401,1,FMCG,14,GROCERIES,141 - BISCUITS/CAKES/CEREAL/DRY BREAD,1410 - BISCUIT,MARS
MARS,401,MARS,401,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,M&M'S
MARS,401,MARS,401,1,FMCG,14,GROCERIES,141 - BISCUITS/CAKES/CEREAL/DRY BREAD,1410 - BISCUIT,BOUNTY
MARS,401,MARS,401,1,FMCG,14,GROCERIES,141 - BISCUITS/CAKES/CEREAL/DRY BREAD,1410 - BISCUIT,M&M'S
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1421 - CHEWING-GUM,SKITTLES
MARS,401,MARS,401,1,FMCG,14,GROCERIES,140 - COFFEE/CHICORY/TEA,1406 - DOLCE GUSTO SYSTEM CAPS,MARS
MARS,401,MARS,401,1,FMCG,14,GROCERIES,149 - ETHNIC PRODUCTS,1493 - EUROPE,COMPAL
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1423 - CHOCOLATE CONFECTIONERY,MINIS MIX
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1421 - CHEWING-GUM,MARS
MARS,401,MARS,401,1,FMCG,14,GROCERIES,140 - COFFEE/CHICORY/TEA,1406 - DOLCE GUSTO SYSTEM CAPS,MILKY WAY
MARS,401,MARS,401,1,FMCG,14,GROCERIES,146 - OILS/SEASONING/SAUCES,1466 - HOT SAUCES,UNCLE BENS
MARS,401,MARS,401,1,FMCG,15,CHILLED (SELF-SERVICE),152 - DAIRY,1521 - FLAVOURED MILK,TWIX
MARS,401,MARS,401,1,FMCG,15,CHILLED (SELF-SERVICE),151 - CHILLED FRESH FOODS,1514 - DRINKING YOGURTS/SNACKS,MARS
MARS,401,MARS,401,1,FMCG,15,CHILLED (SELF-SERVICE),152 - DAIRY,1521 - FLAVOURED MILK,M&M'S
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1423 - CHOCOLATE CONFECTIONERY,BE KIND
MARS,401,MARS,401,1,FMCG,15,CHILLED (SELF-SERVICE),152 - DAIRY,1521 - FLAVOURED MILK,BOUNTY
MARS,401,MARS,401,1,FMCG,14,GROCERIES,149 - ETHNIC PRODUCTS,1490 - ASIA/OCEANIA,UNCLE BENS
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1422 - CHOCOLATE BARS,BALISTO
MARS,401,MARS,401,1,FMCG,15,CHILLED (SELF-SERVICE),152 - DAIRY,1521 - FLAVOURED MILK,MILKY WAY
MARS,401,MARS,401,1,FMCG,15,CHILLED (SELF-SERVICE),152 - DAIRY,1521 - FLAVOURED MILK,MALTESERS
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1421 - CHEWING-GUM,SNICKERS
MARS,401,MARS,401,1,FMCG,14,GROCERIES,146 - OILS/SEASONING/SAUCES,1465 - COLD SAUCES,UNCLE BENS
MARS,401,MARS,401,1,FMCG,13,PET CARE,130 - CAT,1300 - CAT FOOD,CRAVE
MARS,401,MARS,401,1,FMCG,14,GROCERIES,143 - DESSERTS/BAKING INGREDIENTS,1437 - SPREADS/CREAMS OF CHESTNUT,M&M'S
MARS,401,MARS,401,1,FMCG,13,PET CARE,131 - DOG,1310 - DOG FOOD,PERFECT FIT
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1421 - CHEWING-GUM,FIVE
MARS,401,MARS,401,1,FMCG,15,CHILLED (SELF-SERVICE),151 - CHILLED FRESH FOODS,1514 - DRINKING YOGURTS/SNACKS,MILKY WAY
MARS,401,MARS,401,1,FMCG,14,GROCERIES,143 - DESSERTS/BAKING INGREDIENTS,1437 - SPREADS/CREAMS OF CHESTNUT,BOUNTY
MARS,401,MARS,401,1,FMCG,13,PET CARE,131 - DOG,1310 - DOG FOOD,ROYAL CANIN
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1420 - CONFECTIONERY,FREEDENT
MARS,401,MARS,401,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1420 - CONFECTIONERY,BE KIND
PERFETTI,2660,PERFETTI,2660,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1421 - CHEWING-GUM,HOLLYWOOD
PERFETTI,2660,PERFETTI,2660,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1420 - CONFECTIONERY,MENTOS
PERFETTI,2660,PERFETTI,2660,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1420 - CONFECTIONERY,CHUPA CHUPS LOLLIPOP
PERFETTI,2660,PERFETTI,2660,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1420 - CONFECTIONERY,MENTOS
PERFETTI,2660,PERFETTI,2660,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1420 - CONFECTIONERY,LA VOSGIENNE
PERFETTI,2660,PERFETTI,2660,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1421 - CHEWING-GUM,FRISK
PERFETTI,2660,PERFETTI,2660,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1420 - CONFECTIONERY,STIMOROL
PERFETTI,2660,PERFETTI,2660,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1443 - PUFFED/EXTRUDED SNACKS,CACHOU
PERFETTI,2660,PERFETTI,2660,1,FMCG,14,GROCERIES,144 - SNACKS,1420 - CONFECTIONERY,CHUPA CHUPS LOLLIPOP
PERFETTI,2660,PERFETTI,2660,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1421 - CHEWING-GUM,LOOK O LOOK
PERFETTI,2660,PERFETTI,2660,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1031 - OTHER CARBONATED DRINKS,PERFETTI
PERFETTI,2660,PERFETTI,2660,1,FMCG,10,LIQUIDS,103 - CARBONATED SOFT DRINKS,1420 - CONFECTIONERY,CHUPA CHUPS LOLLIPOP
PERFETTI,2660,PERFETTI,2660,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1421 - CHEWING-GUM,FRUITELLA
PERFETTI,2660,PERFETTI,2660,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1421 - CHEWING-GUM,V6
PERFETTI,2660,PERFETTI,2660,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1420 - CONFECTIONERY,BAZOOKA
PERFETTI,2660,PERFETTI,2660,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1420 - CONFECTIONERY,GOLIA
PERFETTI,2660,PERFETTI,2660,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1420 - CONFECTIONERY,PERFETTI
PERFETTI,2660,PERFETTI,2660,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,,VAN MELLE