Main Holding Name,Main Holding Key,Holding Name,Holding Key,International Sector Key,International Sector Description,International Department Key,International Department Description,Group Class Key - Description,Class Key - Description,Brand Name,Statut d'Appartenance verifié,Date d'ajout,Secteur d'activité,Département,À VÉRIFIER
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,EXTREME,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,NUII,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1550 - ICE CREAM/SORBET TUB >100ML,LA LAITIERE ICE CREAMS,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,COTE D'OR,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,OASIS,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1552 - GATEAUX/PASTRIES/ICED DESSERT,NESTLE ICE CREAMS,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,PIRULO,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,MYSTERE,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,SMARTIES ICE CREAMS,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1552 - GATEAUX/PASTRIES/ICED DESSERT,PILPA DESSERT,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,MILKA GLACES,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1552 - GATEAUX/PASTRIES/ICED DESSERT,PILPA GLACES,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,OREO ICE CREAM,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,NESTLE ICE CREAMS,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,DAIM GLACES,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1550 - ICE CREAM/SORBET TUB >100ML,MILKA GLACES,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1550 - ICE CREAM/SORBET TUB >100ML,COTE D'OR,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1550 - ICE CREAM/SORBET TUB >100ML,DAIM GLACES,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1550 - ICE CREAM/SORBET TUB >100ML,OREO ICE CREAM,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,KIT KAT ICE CREAMS,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1552 - GATEAUX/PASTRIES/ICED DESSERT,KIT KAT ICE CREAMS,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1552 - GATEAUX/PASTRIES/ICED DESSERT,TOBLERONE GLACES,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,TOBLERONE GLACES,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1552 - GATEAUX/PASTRIES/ICED DESSERT,MILKA GLACES,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1550 - ICE CREAM/SORBET TUB >100ML,PILPA DESSERT,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,14,GROCERIES,142 - CONFECTIONERY/CHOCOLATE,1424 - SEASONAL CONFECTIONERY,MOTTA,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1550 - ICE CREAM/SORBET TUB >100ML,ROAR,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1550 - ICE CREAM/SORBET TUB >100ML,NESTLE ICE CREAMS,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,PREMIO,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,UNKNOWN,NON,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,FRIGOR,NON,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1552 - GATEAUX/PASTRIES/ICED DESSERT,LION  ICE CREAMS,,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1552 - GATEAUX/PASTRIES/ICED DESSERT,SMARTIES ICE CREAMS,OK,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,VENITIA,NON,,,,
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,DISNEY,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1213 - DEODORANTS,NARTA,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1211 - SHOWER PRODUCTS,CADUM,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1211 - SHOWER PRODUCTS,USHUAIA,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1213 - DEODORANTS,USHUAIA,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1204 - HAIRDRESSING PRODUCTS,DOP,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1214 - BODY CARE,MIXA,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1213 - DEODORANTS,MENNEN,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1200 - SHAMPOOS,DOP,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1200 - SHAMPOOS,JACQUES DESSANGE,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1212 - SOAPS,SAVON LE NATUREL,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1203 - LOTIONS/CARE PRODUCTS,JACQUES DESSANGE,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1216 - EAU DE COLOGNE/EAU DE TOILLETTE,BIEN ETRE,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1211 - SHOWER PRODUCTS,DOP,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,123 - FACIAL CARE/MAKEUP,1230 - WOMEN FACIAL CARE,MIXA,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,125 - BABY PRODUCTS,1250 - BABY CLEANSING/CARE  PRODUCTS,MIXA,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,124 - SHAVING PRODUCTS,1243 - SHAVING FOAMS/CREAMS/GELS,MENNEN,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,125 - BABY PRODUCTS,1250 - BABY CLEANSING/CARE  PRODUCTS,CADUM,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,124 - SHAVING PRODUCTS,1244 - AFTER-SHAVE,MENNEN,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,123 - FACIAL CARE/MAKEUP,1231 - MAKEUP REMOVERS,MIXA,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1215 - HAND/FOOT CARE,MIXA,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1200 - SHAMPOOS,FRANCK PROVOST,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1210 - BATH PRODUCTS,USHUAIA,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1201 - HAIR CONDITIONERS,JACQUES DESSANGE,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1213 - DEODORANTS,CADUM,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1213 - DEODORANTS,MIXA,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1204 - HAIRDRESSING PRODUCTS,JACQUES DESSANGE,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,125 - BABY PRODUCTS,1251 - BABY WIPES,MIXA,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1216 - EAU DE COLOGNE/EAU DE TOILLETTE,EAU JEUNE,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,123 - FACIAL CARE/MAKEUP,1235 - UNISEX FACIAL CARE,MIXA,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1219 - SUN PROTECTION PRODUCTS,MIXA,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1216 - EAU DE COLOGNE/EAU DE TOILLETTE,DANIEL HECHTER,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1203 - LOTIONS/CARE PRODUCTS,FRANCK PROVOST,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1212 - SOAPS,CADUM,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1201 - HAIR CONDITIONERS,FRANCK PROVOST,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1204 - HAIRDRESSING PRODUCTS,FRANCK PROVOST,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,125 - BABY PRODUCTS,1251 - BABY WIPES,CADUM,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1204 - HAIRDRESSING PRODUCTS,JEAN LOUIS DAVID,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1203 - LOTIONS/CARE PRODUCTS,DOP,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,122 - ORAL HYGIENE,1220 - TOOTHPASTES,FLUORYL,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1214 - BODY CARE,BIEN ETRE,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1216 - EAU DE COLOGNE/EAU DE TOILLETTE,GLORIA VANDERBILT,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1211 - SHOWER PRODUCTS,MENNEN,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1211 - SHOWER PRODUCTS,MIXA,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1202 - COLORANTS/DYES,DEDICACE,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1216 - EAU DE COLOGNE/EAU DE TOILLETTE,SLAVA ZAITSEV,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1210 - BATH PRODUCTS,MIXA,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1212 - SOAPS,DOP,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1216 - EAU DE COLOGNE/EAU DE TOILLETTE,MAROUSSIA,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1201 - HAIR CONDITIONERS,DOP,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1213 - DEODORANTS,H POUR HOMME,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1214 - BODY CARE,MENNEN,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1200 - SHAMPOOS,JEAN LOUIS DAVID,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1201 - HAIR CONDITIONERS,JEAN LOUIS DAVID,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1214 - BODY CARE,CADUM,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1213 - DEODORANTS,AIRNESS,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1200 - SHAMPOOS,MENNEN,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1202 - COLORANTS/DYES,FRANCK PROVOST,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1203 - LOTIONS/CARE PRODUCTS,LASCAD,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1200 - SHAMPOOS,DANIEL HECHTER,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1216 - EAU DE COLOGNE/EAU DE TOILLETTE,AIRNESS,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,126 - FEMININE HYGIENE,1262 - INTIMATE FEMININE HYGIENE PROD,CADUM,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1203 - LOTIONS/CARE PRODUCTS,JEAN LOUIS DAVID,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1212 - SOAPS,DONGE,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1203 - LOTIONS/CARE PRODUCTS,DANIEL HECHTER,NON,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1213 - DEODORANTS,EAU JEUNE,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1200 - SHAMPOOS,MIXA,OK,,,,
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1213 - DEODORANTS,GLORIA VANDERBILT,NON,,,,
